text,category
ask jeeves tip online revival ask jeeves become third leading online search firm week thank revival internet advertising improving fortune firm revenue nearly tripled fourth quarter exceeding ask jeeves among bestknown name web relatively modest player profit quarter dwarfed announced rival google earlier week quarter yahoo earned tipping resurgence online advertising trend taken hold relatively quickly late last year marketing company doubleclick one leading provider online advertising warned business would put sale thursday announced sharp turnaround brought unexpected increase profit neither ask jeeves doubleclick thrilled investor profit news however case share fell analyst attributed fall excessive expectation quarter fuelled dramatic outperformance google tuesday,business
indonesian face fuel price rise indonesia government confirmed considering raising fuel price much million indonesian use kerosene basic cooking price heavily subsidised year president susilo bambang yudhoyonos government said want curb fuel subsidy direct money aid programme poor critic argue cutting subsidy hurt poorer family government say want help million people left homeless indonesia acehs region following earthquake tsunami disaster late december indonesia pay subsidy importer order stabilise domestic fuel price higher oil price forced government spend holding price spent trillion rupiah fuel subsidy sum far excess original projection trillion rupiah since president yudhoyonos government came power october indicated intention raising domestic fuel price cutting subsidy january march quarter year best time increase fuel price said sri mulyani indrawati state minister national development planning still considering hike suitable moment sooner better state budget bbcs correspondent jakarta rachel harvey told world business report likely strong public reaction price rise big question whether one big short sharp shock raise price whether try stagger said indonesia previous government led president megawati sukarnoputri also attempted cut subsidy forced back face public protest,business
peugeot deal boost mitsubishi struggling japanese car maker mitsubishi motor struck deal supply french car maker peugeot sport utility vehicle suv two firm signed memorandum understanding say expect seal final agreement spring alliance come badlyneeded boost lossmaking mitsubishi several profit warning poor sale suv built japan using peugeots diesel engine sold mainly european market falling sale left mitsubishi motor underused capacity production deal peugeot give chance utilise january mitsubishi motor issued third profit warning nine month cut sale forecast year march sale slid past year catalysed revelation company systematically hiding record fault secretly repairing vehicle result japanese car maker sought series financial bailouts last month said looking yen fresh financial backing half company mitsubishi group usgerman carmaker daimlerchrylser shareholder mitsubishi motor decided april pump money deal peugeot celebrated mitsubishis newlyappointed chief executive takashi nishioka took three top boss stood last month shoulder responsibility firm trouble mitsubishi motor forecast net loss yen current financial year march last month signed production agreement japanese rival nissan motor supply small car sale japan making car nissan since,business
telegraph newspaper axe job daily sunday telegraph newspaper axing journalist job editorial staff telegraph group say cut needed fund investment new printing facility journalist firm met friday afternoon discus react surprise announcement cut come background fierce competition reader sluggish advertising revenue amid competition online advertising national union journalist called management recall notice redundancy midday monday face strike ballot pearsons financial time said last week offering voluntary redundancy reporter national union journalist said stood strongly behind journalist rule strike manager torn agreed procedure kicked staff teeth sacking people pay printing facility said jeremy dear nuj general secretary nuj official barry fitzpatrick said company ignored day consultation period required company planning redundancy shown complete disregard consultative right member said fitzpatrick added company planned observe consultation procedure two telegraph title currently employ journalist broadsheet newspaper especially moved tabloid format suffered circulation decline hitting revenue telegraph announced plan tabloid although independent time seen circulation rise since shrinking size guardian hedging bet planning larger tabloid format like popular continental europe telegraph group bought barclay twin frederick david last year previously owned lord conrad black hollinger international brother currently mulling sale another business retailer littlewoods telegraph executive murdoch maclennan said two newspaper would add eight colour page coming month journalist lifeblood newspaper maintaining quality daily telegraph sunday telegraph reader vital said however action improve production capability secure title competition also vital many newspaper investing new printing machinery enables print colour page case colour every page hoping boosting colour make publication attractive advertiser reader alike recent month news corp news international unit publishes sun news world guardian medium group trinity mirror daily mail general trust announced substantial investment new printing plant,business
air passenger win new right air passenger unable board flight overbooking cancellation flight delay demand greater compensation new rule set compensation euro euro depending length flight new rule apply scheduled charter flight including budget airline airline attacked legislation saying could forced push price higher cover extra cost european commission facing two legal challenge one european lowfare airline association elaa international air transport association iata attacked package bad piece legislation previously passenger could claim euro euro stopped boarding however scheduled flight operator obliged offer compensation case overbooking offer compensation flight cancellation decided increase passenger compensation bid deter airline deliberately overbooking flight overbooking often lead bumping passenger moved later flight happens passenger airline offer compensation addition flight cancelled delayed two hour fault airline passenger must paid compensation however airline offer compensation flight cancelled delayed due extraordinary circumstance airline fear extraordinary circumstance may include bad weather security alert strike event outside control eubased airline operator flight take adhere new compensation regime came force thursday lowcost airline criticised new compensation level arguing payout could worth ticket preposterous piece legislation among airline fighting ryanair deputy chief executive michael cawley told radio today programme european region airline association eraa claim neither airline consumer consulted change andy clarke eraa director air transport said advice misleads customer lead believe airline could liable payouts flight delayed bad weather spokeswoman marja quillinanmeiland conceded grey area said big airline making case dispute national enforcement body would decide whether passenger case said new technology mean easier airline take land bad weather added eraas clarke also warned airline would comply new rule extra cost would passed onto passenger reckon going cost european air passenger airline airline money paid passenger euro thats year loaded onto european passenger clarke said thats basically transfer money passenger whose journey disrupted passenger whose journey disrupted wednesday jacques barrot vice president european commission also commissioner transport said change necessary boom air travel need accompanied proper protection passenger right concrete example union benefit people daily life added launched information campaign airport travel agency inform airline passenger new right,business
china keep tight rein credit china effort stop economy overheating clamping credit continue state medium report curb introduced earlier year ward risk rapid expansion might lead soaring price also fear much stress might placed fragile banking system growth china remains breakneck corporate investment growing year breakneck pace economic expansion kept growth year rapid toolingup china manufacturing sector mean massive demand energy one factor kept world oil price skyhigh year theory government growth target continues insist overshoot mean hard landing shape overbalancing economy low exchange rate china yuan pegged rate dollar seems relentless decline mean chinese export cheap world market china thus far resisted international pressure break link least shift level peg extent credit control seem taking effect industrial output grew year october february inflation slowed although retail sale still booming,business
parmalat boast doubled profit parmalat italian food group centre one europe painful corporate scandal reported doubling profit pretax earnings fourth quarter euro period less welcome news firm fined euro violated takeover rule five year ago firm sought bankruptcy protection december disclosing bneuro hole account overall company debt close euro falling slowly brand wellknown italy overseas continued perform strongly however barely lost revenue since scandal broke crucial factor company future legal unwinding intensely complex financial position tuesday company administrator turnaround expert enrico bondi sued morgan stanley former banker return euro relating bond deal brought number bank bondi sued mass legal action could bring much euro company also sued former auditor financial advisor damage criminal case company former management proceeding separately,business
india rupee hit fiveyear high india rupee hit fiveyear high standard poor raised country foreign currency rating rupee climbed per dollar thursday close currency gained almost past three session rate borrower creditworthiness lifted india rating one notch indian asset seen less gamble cash expected flow market buoying rupee upgrade positive basically people use excuse come back india said bhanu baweja strategist ubs money moved india first two three week january market like korea thailand upgrade lead reversal india foreign currency rating one notch investment grade start bbb increase put level romania egypt salvador one level russia,business
india widens access telecom india raised limit foreign direct investment telecom company communication minister dayanidhi maran said need fund fastgrowing mobile market government hope increase number mobile user million million need least investment part come foreign direct investment said maran decision raise limit foreign investor faced considerable opposition communist party give crucial support coalition headed prime minister manmohan singh potential foreign investor however need government approval increase stake beyond maran said key position chief executive chief technology officer chief financial officer held indian added analyst investor welcomed government decision positive development carrier investment community looking take longerterm view huge growth indian telecom market said gartners principal analyst kobita desai fdi relaxation coupled rapid local market growth could really ignite interest indian telecommunication industry added ernst young sanjay mehta investment bank morgan stanley forecast india mobile market likely grow year indian mobile market currently dominated four company bharti televentures allied singapore telecom essar linked hong kongbased hutchison whampoa sterling group tata group,business
call centre user lose patience customer trying get call centre getting impatient quicker hang survey suggests past welcome message caller average hang second listening canned music drop patience come number call call centre growing rate every year customer getting used idea always available society say cara diemont firm dimension data commissioned survey however call centre also saw sharp increase customer simply abandoning call say record last year automated phone message system taken equation customer pick way multiple option message number abandoned call even higher sixth caller give rather wait one possible reason lack patience diemont say fact customer calling move using mobile phone surge customer trying get call centre also reflection centre growing range task call centre may looked mortgage agent may also responsible credit card insurance current account diemont say problem occurring increased responsibility going handinhand training survey found dimension data call alarming development average induction time call centre worker fell last year day leaving agent equipped deal customer diemont warns scary good bottom line either poor training frustrates call centre worker customer result call centre high churn rate nearly quarter worker throwing towel every year turn force company pay training new staff resolution rate number call customer query resolved mutual satisfaction running query passed second third person specialist manager rate rise still well industry target resolution rate suggestion outsourcing relocating call centre lowcost country like india south africa blame wrong diemont say big difference wait time call resolution call centre based europe north america developing country around world make call centre perform anywhere good management right process place say however company decide offshore operation driven cost consideration say saving money main consideration closing domestic call centre operation half argue worker country offer better skill money everybody belief outsourcing offshoring solution nearly twothirds firm polled survey plan offshore call centre give three key reason making move call centre operation part business core function worried risk going abroad fear damage brand join offshoring drive survey conducted sunovate behalf dimension data based indepth questionnaire call centre country five continent experience call centre happy listen vivaldi greensleeves want immediate response work call centre training prepare job,business
rank set sell film unit leisure group rank could unveil plan demerge film service unit sell medium business report claim rank formerly famous carry series expose shakeup announcement result friday sunday telegraph reported advisor goldman sachs understood valued demerged deluxe film unit report added speculation possible shakeup mounted since rank announced study possible demerger september since mike smith appointment chief executive group focused fewer business embarked major costcutting programme seen dispose number business including odeon cinema chain pinewood studio move left group three core division gaming hard rock deluxe film provides technical service hollywood studio rank aim concentrate gaming bar hotel business including extending hard rock brand casino trial success also owns deluxe medium make distributes dvd video however business seen less successful last year made profit turnover expert suggest success moving dvd vhs video could make attractive target private equity buyer spokesman firm refused comment report said result demerger study likely set unveiled result friday analyst predict firm likely report slight drop annual pretax profit last year formed firm leading film producer cinema owner many year diversified range leisure activity mainly including hotel roadside service area holiday centre owns grosvenor casino mecca bingo chain hard rock cafe country,business
sluggish economy hit german job number people work europe largest economy risen tenth straight month growth remains stubbornly slow german unemployment rose november million people workforce seasonally adjusted rise showed smaller rise expected government measure encourage job creation began take effect official said stagnant growth still stifling job market clear sign revival domestic demand said frankjuergen weise head federal labour agency statement growth third quarter still insufficient deliver positive momentum labour market high oil price soaring euro damage competitiveness exporter also negative effect said brunt unemployment still felt eastern part germany rate unemployment stuck million year government chancellor gerhard schroeder put job creation top agenda controversial package measure shake incentive get back work paid cutting cherished benefit sparked anger among german worker strike number industry notably among country iconic carmaker demonstrated displeasure well fear job loss outsourcing take hold among new initiative socalled oneeuro job top unemployment benefit scheme formal launch january hirings position already taking place affecting unemployment statistic economist said deterioration labour market come surprise said isabelle kronawitter hypovereinsbank job creation measure probably prevented stronger increase seasonally adjusted number,business
mixed signal french economy french economy picked speed end official figure show still look set fallen short government hope according state statistic body insee growth three month december seasonallyadjusted ahead forecast confirmed would best quarterly showing since early leaf gdp full year short french government predicted despite apparent shortfall annual economic growth good quarterly figure socalled flash estimate mark continuing trend improving indicator health french economy government reiterating target european central bank making positive noise nation eurozone whole also friday france industrial output december released showing growth number good said david naude economist deutsche bank send positive signal rebound output open way continuation trend new year service sector activity improved january hitting sevenmonth high unemployment remains high,business
trade gap hit record gap export import hit alltime high latest figure show commerce department said trade deficit last year previous record imbalance deficit china largest ever recorded single country however monthly basis trade gap narrowed december consumer appetite thing oil imported car even wine cheese reached record level last year figure likely spark fresh criticism president bush economic policy democrat claim administration done enough clamp unfair foreign trade practice example believe china currency policy manufacturer claim undervalued yuan much given china rapidly expanding economy unfair advantage competitor meanwhile bush administration argues deficit reflects fact america growing faster rate rest world spurring demand imported good economist say may allow upward revision economic growth fourth quarter others point deficit reached astronomical proportion foreigner many choose hold many dollardenominated asset may turn harm growth export rose trillion import rose even faster new record trillion foreign oil export surged record reflecting rally global oil price increasing domestic demand import affected dollar weakness last year expect deficit continue widen even dollar get back downward trend said economist mariepierre ripert ixis,business
yukos loses bankruptcy battle judge dismissed attempt russian oil giant yukos gain bankruptcy protection yukos filed chapter protection houston unsuccessful attempt halt auction yugansk division russian authority court ruling blow effort get damage sale yugansk yukos claim illegally sold separately former yukos bos mikhail khodorkovsky began testimony friday trial fraud tax evasion khodorkovsky jail year pleaded guilty charge brought denied involvement criminal activity pride heading year number successful company helping enterprise rise knee told russian court yugansk auctioned help pay unpaid tax bought previouslyunknown group turn bought almost immediately statecontrolled oil company rosneft texas judge letitia clark said yukos enough presence establish jurisdiction vast majority business financial activity yukos continue occur russia judge clark said ruling activity require continued participation russian government yukos argued court entitled declare bankrupt yugansk unit sold since local bank account chief finance officer bruce misamore life houston yukos claimed sought help forum russian court european court human right either unfriendly offered less protection russia indicated would case abide ruling court ruling judge acknowledged appears likely agency russian government acted manner would considered confiscatory united state law said role simply decide jurisdiction court jurisdiction challenged deutsche bank gazpromneft former unit russian gas monopoly gazprom due merge rosneft analyst said ability gazprom rosneft trade freely overseas stifled ownership yugansk remained unclear yukos said would consider option light ruling however claimed court backed argument four five key issue believe merit case strong simple said chief executive steven theede asset illegally seized want back damage paid,business
safety alert recall car world biggest carmaker general motor recalling nearly vehicle safety ground according federal regulator national highway traffic safety administration nhtsa said largest recall involves pickup van sport utility vehicle suv possible malfunction braking system affected vehicle product recall model year said vehicle potential fault chevrolet avalanche express kodiak silverade suburban gmc savana sierra yukon nhtsa said pressure accumulator braking system could crack normal driving fragment could injure people hood open could allow hydraulic fluid leak could make harder brake steer could cause crash warned also recalling cadillac xlr coupe srx suv pontiac grand prix sedan model year accelerator pedal may work properly extremely cold temperature requiring braking addition car giant calling back buick ranier chevrolet trailblazer gmc envoy isuzu ascender model year windshield properly fitted could fall crash however stressed know injury related problem news recall follows announcement last month expects earnings year lower world biggest car maker grappling loss european business weak sale product recall january said higher healthcare cost north america lower profit financial service subsidiary would hurt performance,business
steel firm cut job mittal steel one world largest steel producer could cut job next five year chief executive said netherlandsbased company due complete acquisition firm isg next month making one largest global firm kind however lakshmi mittal told investor combined company shed thousand job indianborn magnate say job loss would fall mittal told investor acquisition international steel group completed company would aim reduce workforce annually could see workforce trimmed staff investing modernisation employee mittal told conference chicago mittal steel formed last year mittals lnm holding merged dutch firm ispat combination mittal steel isg would annual sale euro production capacity million tonne mittal steel spokeman said decision job cut made yet trying create sustainable steel industry want invest new technology spokesman said mittal steel operation country many business particularly eastern europe previously state owned huge workforce employ staff kazakhstan alone large operation romania czech republic south africa united state,business
strong demand trigger oil rally crude oil price surged back barrel mark thursday energy market watchdog raised forecast global demand international energy agency iea warned demand opec crude first quarter would outstrip supply iea raised estimate oil demand growth barrel day million barrel day light crude rose brent crude london gained parisbased iea watchdog advises industrialized nation energy policy said upward revision due stronger demand china asian country fresh rally crude price followed gain wednesday triggered large fall crude supply following cold spell north america january department energy reported crude stockpile fallen barrel top ongoing problem beleaguered russian oil giant yukos also prompted iea revise output estimate russia major nonopec supplier think price beginning set new range look like level said energy analyst orin middleton barclays capital,business
firm face venezuelan land row venezuelan authority said seize land owned british company part president chavez agrarian reform programme official cojedes state said friday farmland owned subsidiary vestey group would taken used settle poor farmer government cracking socalled latifundios large rural estate say lying idle vestey group said informed planned seizure firm whose agroflora subsidiary operates farm venezuela insisted complied fully venezuelan law prosecutor south country targeted hato charcote beef cattle ranch owned agroflora according reuters plan seize acre hectare acre hectare farm official claim agroflora possess valid document proving ownership land question also allege area ranch used form active production legal boundary match actual boundary surplus state prosecutor alexis ortiz told reuters consequence government taken action controversial reform passed give government right take control private property declared idle ownership traced back century critic say power president chavez argues needed help country poorest citizen develop venezuelan economy trample private property right vestey group said owned land since would cooperate fully authority spokesman added agroflora absolutely confident submitted demonstrate legality title land company pointed farm employ worker provides meat solely venezuelan market last month government said identified idle farm yet consider status authority said landowner whose title order whose farm productive nothing fear president chavez venezuelan government steadily expanded state involvement country economy recently said mining contract involving foreign firm would examined ensure provided sufficient economic benefit state,business
soaring oil hit world economy soaring cost oil hit global economic growth although world major economy weather storm price rise according oecd latest biannual report oecd cut growth prediction world main industrialised region growth would reach fall next year previous estimate oecd said however parisbased economics think tank said believed global economy could still regain momentum forecast japanese growth also scaled back year outlook worst member eurozone bloc already sluggish growth forecast slipping year oecd said overall report forecast total growth member country oecd slipping next year recovering nonetheless good reason believe despite recent oil price turbulence world economy regain momentum nottoodistant future said jeanphilippe cotis oecds chief economist price crude higher start record high set late october dip oil price improving job prospect would improve consumer confidence spending oecd said oil shock enormous historical standard seen worse seventy oil price rise think shock absorbed within next quarter vincent koen senior economist oecd told bbcs world business report recovery underway interrupted bit oil shock year would regain momentum course china booming economy spectacular comeback japan albeit one faltered recent month would help world economic recovery oecd said supported strong balance sheet high profit recovery business investment continue north america start earnest europe added however report warned remains seen whether continental europe play strong supportive role marked upswing final domestic demand oecd highlighted current depressed household expenditure germany eurozones overreliance exportled growth,business
irish market reach alltime high irish share risen record high investor persuaded buy market low inflation strong growth forecast iseq index leading share closed point thursday fuelled strong growth banking financial stock fall rate inflation january gave fresh boost share advanced month economy set strong growth interest rate remain low several ireland biggest company saw market value hit recent high thursday allied irish bank ireland biggest company capitalisation touched five year peak bank ireland share rose highest level since august telecom firm eircom recently revealed would reenter irish mobile phone market hit yearly high analyst said economic condition benign irish share still trading discount european market ireland tick box far international investor concerned roy asher chief investment officer hibernian investment manager told reuters buoyant economic condition set continue ireland next year irish equity continue offer quality growth reasonable valuation bernard mcalinden head equity research ncb stockbroker said equity represented good value compared investment still looking good told reuters seen good economic data ireland benefit financial stock ireland economic miracle enjoying second wind growth forecast economy cooled markedly enjoying spectacular growth however bounced back strongly growth expected,business
japanese banking battle end japan sumitomo mitsui financial withdrawn takeover offer rival bank ufj holding enabling latter merge mitsubishi tokyo sumitomo boss told counterpart ufj decision friday clearing way conclude trillion yen deal mitsubishi deal would create world biggest bank asset trillion yen trillion sumitomos exit end high profile fight japanese bank history ufj holding japan fourthlargest bank centre fierce bid battle last year sumitomo japan thirdlargest bank tabled higher offer ufj rival valuing company however ufjs management known prefer offer mitsubishi tokyo financial group mtfg japan secondlargest bank concern also raised sumitomos ability absorb ufj former admitted defeat believe market investor accept ufjmtfg merger sumitomo said statement given ongoing integration ufj mtfg operation persisting proposal may best interest shareholder ufjs mitsubishis takeover ufj japan largestever takeover deal still approved shareholder two firm however expected formality sumitomo may turn attention deepening tie daiwa security another japanese financial firm two set merge venture capital operation speculation could lead fullblown merger japanese bank increasingly seeking alliance boost profit,business
rich grab half colombia poor fund half money put aside colombian government help country poor benefiting people need study found total trillion peso earmarked subsidy poor government department planning said also found trillion peso going richest part population rather need sound distribution cash could cut poverty level government belief resource enough reduce poverty need tax reform better distribution deputy planning director jose leibovich said colombia population million half life poverty line however large property paying less tax situated inside poor area benefit cheaper utility electricity water government research found government expenditure area pension public service education property health revised leibovich said added government examining report warned would easy solution problem good distribution subsidy economic growth poverty could fall low said,business
rover deal may cost job job rover midland plant may cut investment firm chinese car maker ahead financial time reported shanghai automotive industry corp plan shift production rover china export source close negotiation tell rover told bbc news report job cut speculation tieup seen rover last chance save longbridge plant pushed chancellor gordon brown rover confirmed tieup would take place far away time rover boss said confident investment deal would signed march early april transport general worker union general secretary tony woodley repeated view friday merger led job cut said investment new model needed ensure future birmingham plant crucial delicate time effort targeted securing new model company mean job people said saic say none money paid four owner rover accused union awarding exorbitant salary report saic extremely concerned ensure money used invest business rather distributed shareholder newspaper quote source close chinese firm meanwhile according chinese state press report small stateowned carmaker nanjing auto negotiation rover saic take stake joint venture saic unavailable comment job cut contacted bbc news rover saic signed technologysharing agreement august,business
firm wpps profit surge advertising giant wpp posted largerthanexpected annual profit predicted outperform market pretax profit rose year ago reach ahead average analyst forecast revenue firm operating margin said could reach year wpp bought rival grey global creating giant big enough rival sector leader omnicom chief executive martin sorrell friday told reuters news agency wpp submitted proposal united business medias nop world market research unit analyst say unit sell could sell wpp recent year also bought firm ogilvy mather cordiant communication also includes firm young rubicam walter thompson event olympics helped boost wpps profit company said congressional election fifa world cup likely present advertising opportunity near future longterm outlook look favourable medium technology development strength economy wpp said,business
